id,text
1879190018574745605,"RT @NEYU4INDIA: अंग्रेजों ने शहीद भगत सिंह जी को आतंकवादी बोला था,अब तानाशाही शासन ने छात्रों के हक के लिए आंदोलन करने पर NEYU के @Radhejat…"
1879190018520223915,@narendramodi Excellent arrangement!
1879190015584154031,"RT @annamalai_k: Our Hon Minister of Commerce &amp; Industry Thiru @PiyushGoyal avl, in Thuglak magazine’s 55th annual function, shared with th…"
1879190014833369311,@AmitShah @narendramodi Congratulations..🙏🏻
1879190012857819616,"RT @visrane: Hon'ble PM Shri @narendramodi ji graces the 150th Foundation Day celebrations of the India Meteorological Department.

Watch L…"
1879190012597788892,"RT @narendramodi: Yesterday, I took part in a very memorable Sankranti and Pongal programme. May this festival strengthen the bonds of toge…"
1879190011587014764,RT @narendramodi: हमने Disaster Management में मौसम विज्ञान की अहमियत को समझा है और यही वजह है कि आज हम आपदाओं से और बेहतर तरीके से निपट र…
1879190011511533598,"RT @narendramodi: देशवासियों का जीवन आसान बन सके और उन्हें मौसम की सटीक जानकारी मिले, हमारा मौसम विभाग इसी लक्ष्य को लेकर आगे बढ़ रहा है। h…"
1879190010769137829,"RT @HardeepSPuri: कितनी ख़ूबसूरत ये तस्वीर है!

Sonamarg Tunnel inaugurated by PM @narendramodi Ji today.

#KashmirOnTheRise 
#SonamargTunn…"
1879190010643280321,RT @narendramodi: हर सुख-दुख में साथ रहने की हमारी परंपरा भारत और कुवैत के आपसी भरोसे की बुनियाद है। https://t.co/0DvCasky2e
